Platform Category,Category Description,Platform List,Platform Description,domain_id
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",AIHome,AIHome is a platform for managing AI-related tools and resources.,ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",AIP,"AI Home is a management UI for builder teams at Grab to navigate the tech ecosystem. It consolidates various platforms and tools, such as Cauldron Web, GitLab, and others, into a single interface. AI Home is designed to streamline the user experience by providing a central point for accessing and managing AI-related resources, including notebooks, jobs, and features. It aims to reduce the complexity and disjointed user experience caused by multiple overlapping platforms",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",Airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",Databricks,"Databricks is a data analytics platform that provides a unified analytics engine for big data and machine learning.",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",GrabGPT,"GrabGPT is a general-purpose productivity tool, primarily aimed at providing a user-friendly chat-based interface that allows users to generate images using text prompts. It opens up the capabilities of Generative AI to tech and non-tech Grabbers alike, unlocking productivity and new ways to solve problems that were previously considered either too difficult or impossible to solve. The product supports multiple Language Learning Models (LLMs), enabling users to choose the model that best fits their needs for style, complexity, and other factors. Additionally, GrabGPT empowers different personas, especially no/low code users, to experiment with and implement AI solutions for their everyday tasks",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",SparkOne,"SparkOne is a seamless serverless Spark experience built on top of both enterprise and open-source Spark offerings. It allows users to leverage the best of Apache Spark and enterprise variants like AWS EMR and Databricks. SparkOne simplifies operational load by automatically managing job distribution across these platforms and optimizing configurations to enhance reliability and reduce costs. It supports REST APIs for job submission and is integrated with tools like Cauldron's MLP and Apache Airflow",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",Workspace Manager,"The Workspace Manager UI is a centralized interface for creating and managing workspaces. It allows users to create new workspaces, optionally limit platforms, and automatically scaffold resources across platforms. It also provides workspace details, access management, and ownership transfers. It is integrated into Console and uses Helix as its data layer",ai_machine_learning
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",AIHome,AIHome is a platform for managing AI-related tools and resources.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",AIP,"AI Home is a management UI for builder teams at Grab to navigate the tech ecosystem. It consolidates various platforms and tools, such as Cauldron Web, GitLab, and others, into a single interface. AI Home is designed to streamline the user experience by providing a central point for accessing and managing AI-related resources, including notebooks, jobs, and features. It aims to reduce the complexity and disjointed user experience caused by multiple overlapping platforms",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Dash,"Dash - A tool to analyze and process datasets, providing actionable insights and data visualization.",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Data Curator,Data Curator - Manage and analyze datasets to deliver key business insights for strategic decisions.,analytics
