onboard,display_name,platform_name,base_path,description,short_description,domains,oncall_channel_name,oncall_channel_url,oncall_tag,stg_url,stg_concedo_client_id,stg_helix_ref,prd_url,prd_concedo_client_id,prd_helix_ref
TRUE,AIHome,aihome,/aihome,AIHome is a platform for managing AI-related tools and resources.,AI-related tools and resources,"ai_machine_learning, analytics",,,,https://aihome.grab.com/,,,https://aihome.grab.com/,,
TRUE,AIP,aip,/aip,"AI Home is a management UI for builder teams at Grab to navigate the tech ecosystem. It consolidates various platforms and tools, such as Cauldron Web, GitLab, and others, into a single interface. AI Home is designed to streamline the user experience by providing a central point for accessing and managing AI-related resources, including notebooks, jobs, and features. It aims to reduce the complexity and disjointed user experience caused by multiple overlapping platforms",Centralized management UI for AI-related resources at Grab,"ai_machine_learning, analytics",,,, https://ai-home.stg-myteksi.com/,,,https://ai-home.grab.com/,,
TRUE,Airflow,airflow,/airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,Workflow and data pipeline orchestration,"ai_machine_learning, analytics, compute",,,, https://anemoi-apt-adreporting.staging.data-engineering.myteksi.net/home,,, https://anemoi-apt-adreporting.data-engineering.myteksi.net/home,,
TRUE,API Gateway,api gateway,/api_gateway,API Gateway is a centralized API management and routing platform.,Centralized API management,networking,,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/337904219/1.+Grab+Gateway,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/337904219/1.+Grab+Gateway,,
TRUE,Artifactory,artifactory,/artifactory,Artifactory is a repository manager for storing and managing binary artifacts.,Binary artifact repository management,"containers, databases_storage",,,,https://helix.engtools.net/catalog/default/component/artifactory/docs,,,https://helix.engtools.net/catalog/default/component/artifactory/docs,,
TRUE,AWS,aws,/aws,AWS provides a suite of cloud computing services.,Cloud computing services,cloud_provider,,,,https://grab-sso.awsapps.com/start,,,https://grab-sso.awsapps.com/start,,
TRUE,CDP,cdp,/cdp,"The Customer Data Platform (CDP) at Grab is a unified system that provides a comprehensive and consistent view of users. It merges and evolves from previous systems like SegP and C360 to offer a marketplace of reliable and reusable user attributes. These attributes are essential for user personalization, targeting, and analysis. CDP supports the creation, management, and discovery of user attributes through advanced tooling, APIs, and integrations. It is widely used across Grab, with over 60 services and 9 platforms integrated, including GrabX, Trident, and Ads.","Craft Once, Consume Everywhere. A Marketplace of Reliable and Reusable User Attributes",,ask-cdp,https://grab.enterprise.slack.com/archives/C5K7ZK5P0,oncall-segmentation-platform,https://cdp.stg-myteksi.com,console-stg,platform:cdp,https://cdp.grab.com,segmentation_platform,platform:cdp
TRUE,Coban,coban,/coban,"The Coban is a platform designed to help users manage and analyze Kafka clusters and topics. It provides functionalities such as viewing business metrics, environment information, and topic configurations. Users can also manage Kafka topics, view producer/consumer details, execute FlinkSQL queries, and monitor the status of Coban pipeline deployments.",A portal for managing and monitoring Kafka clusters and topics,,ask-coban,https://grab.enterprise.slack.com/archives/C48AHCH3Q,oncall-coban,https://coban-ui.stg-myteksi.com,coban-heimdall,platform:coban,https://coban-ui.grab.com,coban-heimdall,platform:coban
TRUE,Concedo,concedo,/concedo,"Concedo is an internally built platform at Grab that provides a unified authentication and authorization service. It leverages OpenID Connect (OIDC) for Single Sign-On (SSO) purposes, allowing users to log in seamlessly across various Grab platforms. Concedo aims to streamline user access management and improve the user experience by reducing the need for multiple logins and providing a centralized authentication mechanism.",Concedo is an internally built platform at Grab that provides unified authentication and authorization services using OpenID Connect (OIDC) for Single Sign-On (SSO),identity_access,,,,https://concedo.stg-myteksi.com,,,https://iam-manage.grab.com/,,
TRUE,Conveyor,conveyor,/conveyor,Conveyor is a platform for orchestrating complex workflows and data pipelines.,Workflow and data pipeline orchestration,devops,,,,https://conveyor.myteksi.net/dashboard,,,https://conveyor.myteksi.net/dashboard,,
TRUE,Databricks,databricks,/databricks,Databricks is a data analytics platform that provides a unified analytics engine for big data and machine learning.,Unified analytics engine for big data and machine learning,"ai_machine_learning, analytics, etl",,,,https://accounts.cloud.databricks.com/,,,https://accounts.cloud.databricks.com/,,
TRUE,Datadog,datadog,/datadog,Datadog is a monitoring and security platform for cloud applications.,Monitoring and security platform for cloud applications,observability,,,,https://app.datadoghq.com/account/login/id/cJ9fPi,,,https://app.datadoghq.com/account/login/id/cJ9fPi,,
TRUE,Doorman,doorman,/doorman,Doorman is a database platform offering connectivity flows for Firefly accounts.,Database platform for connectivity flows for Firefly accounts,databases_storage,,,,https://transformer.myteksi.net,,,https://transformer.myteksi.net,,
TRUE,Genchi,genchi,/genchi,Genchi is a platform aimed to be self-served for data quality testing and alerting.,Data quality testing and alerting platform,management_governance,,,,https://one-de.prod.data-engineering.myteksi.net/genchi,,,https://one-de.prod.data-engineering.myteksi.net/genchi,,
TRUE,Gitlab,gitlab,/gitlab,GitLab is a repository hosting service for storing code and other artifacts.,Repository hosting service,"containers, devops, integration, source_code_management",,,,https://gitlab.myteksi.net/,,,https://gitlab.myteksi.net/,,
TRUE,GrabGPT,grabgpt,/grabgpt,"GrabGPT is a general-purpose productivity tool, primarily aimed at providing a user-friendly chat-based interface that allows users to generate images using text prompts. It opens up the capabilities of Generative AI to tech and non-tech Grabbers alike, unlocking productivity and new ways to solve problems that were previously considered either too difficult or impossible to solve. The product supports multiple Language Learning Models (LLMs), enabling users to choose the model that best fits their needs for style, complexity, and other factors. Additionally, GrabGPT empowers different personas, especially no/low code users, to experiment with and implement AI solutions for their everyday tasks",GrabGPT is a productivity tool that uses Generative AI to help users generate images and perform data analysis through a conversational interface,ai_machine_learning,,,,https://aihome.grab.com/grabgpt,,,https://aihome.grab.com/grabgpt,,
TRUE,GrabX,grabx,/grabx,"GrabX is Grab's internal tool designed for configuration and deployment management. It plays a crucial role in managing various aspects of the deployment process, including handling provisioning and deprovisioning, and ensuring that configurations are correctly applied across different services. GrabX also integrates with other systems to control demand aggregation logic by vehicle type, which helps in optimizing the allocation rate and reducing potential risks associated with rolling out new aggregation logic","GrabX is an internal tool at Grab used for configuration and deployment management, ensuring efficient handling of provisioning, deprovisioning, and demand aggregation logic",analytics,grab-x,https://grab.enterprise.slack.com/archives/C543VR9HT,@oncall-experimentation-platform,https://experiments.stg-myteksi.com/,grabx_stg,platform:grabx,https://experiments.grab.com/,grabx_planner,platform:grabx
TRUE,Grafana,grafana,/grafana,Grafana is an open-source platform for monitoring and observability.,Grafana is an open-source platform for monitoring and observability,observability,,,,https://grafana.stg-myteksi.com,,,https://grafana.conduit.cauldron.myteksi.net/,,
TRUE,Helix,helix,/helix,Helix is built on top of Backstage and attempts to be the single interface for all engineers via ‘plugins’.,Engineering interface,management_governance,,,, https://helix-staging.stg.nexus.int.engtools.net/,,,https://helix.engtools.net/,,
TRUE,Hubble,hubble,/hubble,Hubble is an open-source platform for network observability and security.,Network observability,management_governance,,,,https://hubble.staging.data-engineering.myteksi.net/,,, https://hubble.data-engineering.myteksi.net,,
TRUE,Hugo,hugo,/hugo,"OneDE Hugo is a platform integrated within the OneDE ecosystem, designed to facilitate the creation and management of static sites. It leverages the Hugo static site generator, which is written in Go, to provide a robust and efficient solution for building static websites. OneDE Hugo aims to streamline the process of static site generation and deployment, making it easier for users to manage their web content",OneDE Hugo is a platform for creating and managing static sites using the Hugo static site generator,"etl, analytics",,,,https://hugo.staging.data-engineering.myteksi.net/,,,https://hugo.prod.data-engineering.myteksi.net/,,
TRUE,Iris,iris,/iris,Iris is a platform for managing and monitoring Spark jobs.,Spark job management and monitoring platform.,"analytics, observability",,,,https://one-de.staging.data-engineering.myteksi.net/iris,,,https://one-de.prod.data-engineering.myteksi.net/iris,,
TRUE,Lighthouse,lighthouse,/lighthouse,Lighthouse is a platform for managing and monitoring data pipelines.,Data pipeline management and monitoring platform.,"analytics, observability",,,,https://lighthouse-api.staging.data-engineering.myteksi.net,,,https://lighthouse-api.prod.data-engineering.myteksi.net,,
TRUE,Loki,loki,/loki,Loki is a dynamic mock server for testing both Android and iOS mobile applications at Grab,Log management and monitoring platform.,"testing, mobile",,,,http://techdocs.grab.com/loki/,,,http://techdocs.grab.com/loki/,,
TRUE,Marionette,marionette,/marionette,"Marionette is a platform to simulate the ordering process, allowing users to place orders with a passenger, get orders with a driver, and complete orders.",Order simulation platform.,testing,,,,https://marionette-api.stg-myteksi.com,,,https://marionette-api.stg-myteksi.com/,,
TRUE,MEKS,meks,/meks,"Managed EKS (MEKS) is Grab's standardized solution for Kubernetes deployments on AWS. It provides a consistent process for deploying containerized applications, addressing gaps in existing pipelines, and easing transitions for teams. MEKS supports both Go monorepo and non-monorepo services, offering features like faster autoscaling, improved maintainability, and cost reduction through resource sharing. It integrates with various platforms to ensure secure and efficient service communication",MEKS is Grab's standardized solution for Kubernetes deployments on AWS,"compute, devops",,,,https://helix.engtools.net/catalog/default/component/managed-eks/docs,,,https://helix.engtools.net/catalog/default/component/managed-eks/docs,,
